e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
83.2098;0.00165;77.3053;0.003167;24.24611;0.551326539;102.716667;0.550872564;52.313658;0.550743003;67.305538;0.55084712
84.7098;0.002475;78.8053;0.001584;24.725195;0.562566922;104.026297;0.5618974;52.956139;0.562549595;68.447347;0.562578106
86.2098;0.00165;80.3053;0;25.038566;0.573556062;105.170392;0.572562471;53.766755;0.573139613;69.75646;0.573595615
87.7098;0.000825;81.8053;0.003167;26.016735;0.584370849;106.811715;0.58392739;54.5768;0.584075666;70.733817;0.584311336
89.2098;0.000825;83.3053;0.003167;26.163129;0.595875113;108.619522;0.595075918;55.220467;0.595163452;71.711024;0.595117815
90.7098;0.000825;84.8053;0.001584;26.809296;0.60653685;109.928935;0.606231933;56.030631;0.606027294;72.85387;0.606219964
92.2098;0;86.3053;0;27.122346;0.617720658;111.07241;0.617273518;56.840214;0.61724354;73.664115;0.617532417
93.7098;0.00165;87.8053;0.006334;27.767754;0.628841893;112.713512;0.628772183;57.815863;0.62849641;74.640426;0.628882265
95.2098;0;89.3053;0.004751;27.914425;0.640178587;114.355794;0.639555967;58.625576;0.639634189;75.783689;0.63973165
96.7098;0.00165;90.8053;0.003167;28.394064;0.651082966;115.499266;0.650599074;59.269804;0.650381749;76.760588;0.650725219
98.2098;0;92.3053;0.004751;28.374971;0.662199437;116.974584;0.661889742;60.079673;0.661424359;77.737794;0.661532383
99.7098;0.000825;93.8053;0.001584;29.187512;0.672711232;118.118224;0.67283083;60.556507;0.672940321;78.880178;0.672914814
101.2098;0.000825;95.3053;0;29.665692;0.684499598;119.427027;0.684356724;61.532312;0.68409918;80.022869;0.684110923
102.7098;0;96.8053;0.003167;29.978809;0.695643316;120.902831;0.695352679;62.341296;0.695678166;80.999196;0.695451093
104.2098;0.000825;98.3053;0;30.458692;0.706399838;122.046524;0.706262258;62.653308;0.706402928;82.142065;0.706539335
105.7098;0;99.8053;0.003167;31.103472;0.717901473;123.687808;0.717650411;63.463399;0.717310659;83.119044;0.717484286
107.2098;0;101.3053;0.004751;31.581954;0.729507165;124.499266;0.728548166;64.272896;0.728579033;84.261644;0.728735798
108.7098;0.000825;102.8053;0.004751;32.394683;0.73990508;125.975486;0.739292028;64.750754;0.739473975;85.072612;0.739610047
110.2098;0.000825;104.3053;0.001584;32.541208;0.751330499;127.451101;0.750402496;65.559988;0.750901886;85.882979;0.750848035
